wikipedia,imdb
975900,tt0228333
3196793,tt0245916
28463795,tt0094806
9363483,tt0094320
261236,tt0083949
13696889,tt0002894
10408933,tt0029852
2345652,tt0053719
175026,tt0021335
24229100,tt0072157
6631279,tt0119548
171005,tt0097499
18296435,tt0278891
11250635,tt0033888
30388930,tt0088646
77856,tt0058331
32456683,tt0061637
33420460,tt0104601
175024,tt0020823
612710,tt0133122
21926710,tt0892904
33427105,tt0055997
31983669,tt0022289
17715326,tt0026167
22087420,tt0053820
21344842,tt0079552
156558,tt0255819
11448183,tt0367546
9633533,tt0255668
31323091,tt0051577
27611999,tt0088157
29528534,tt0366182
1364293,tt0033150
29772142,tt1849787
26067101,tt0178022
9912533,tt0178356
9548445,tt0099054
26878691,tt0079899
10275424,tt0021728
2314463,tt0482499
2487170,tt0153301
25960460,tt0166158
13711159,tt0004604
261237,tt0080801
14631844,tt0008150
14301436,tt0009082
12008535,tt0405393
4951456,tt0097670
13281430,tt0843287
11633165,tt0128332
21449578,tt0116480
5708633,tt0402230
12053509,tt0097790
7252019,tt0161362
3645672,tt0055981
29198000,tt0106541
1369204,tt0031516
21235485,tt0091513
19494009,tt0170113
31323885,tt0173225
12371532,tt0479879
24399617,tt0432762
32104837,tt0087489
20334086,tt1152403
5915856,tt0378118
31137877,tt0018713
2647998,tt0074653
21958879,tt0053410
1254263,tt0073705
20944359,tt0163238
11353896,tt0320792
24761154,tt1065099
27374355,tt0074681
31304361,tt0100742
273431,tt0255637
16686643,tt0904126
7364373,tt0013951
31026308,tt0132524
11996174,tt0426863
7028314,tt0050646
31156641,tt0323365
32224700,tt0256351
25413122,tt0043482
5664529,tt0063787
26776017,tt0011629
24039457,tt0465517
31322464,tt0445847
5894429,tt0488380
12788657,tt0062755
31153831,tt0234326
27556929,tt0116056
4300418,tt0347167
29766415,tt0037657
30246289,tt1263736
18109665,tt0005897
9390791,tt0362718
29375144,tt1479388
24196090,tt0072430
28028248,tt1691424
8669450,tt0475994
10419077,tt0214042
2154704,tt0090836
28301986,tt0049143
17780234,tt0184076
33059372,tt1792799
3740032,tt0039313
2659373,tt0056105
17683792,tt0443587
9380065,tt0450258
164387,tt0078718
28937087,tt0486219
7443859,tt0447117
7767613,tt0063642
24863901,tt1489877
21373150,tt0191280
30002176,tt0020253
164388,tt0079239
22985953,tt0046757
31723287,tt1895526
7707787,tt0352230
1630107,tt0090366
7572051,tt0175877
22066590,tt0049009
10628777,tt0305952
3550323,tt0114660
1072373,tt0282003
1765938,tt0077369
7460227,tt0907842
19095614,tt0063563
21878654,tt1411029
18902861,tt0094592
26615659,tt0092033
20204625,tt0027691
13613357,tt0025196
1305819,tt0087015
25790807,tt1391122
12438366,tt14338824
32229606,tt0125113
33495214,tt0063849
6752142,tt0048130
35847891,tt0006672
14494806,tt0297034
32972053,tt0012980
13021375,tt0249654
33514209,tt0162714
9169526,tt0155561
1031231,tt0118843
9912537,tt0189470
27002888,tt0030424
13602366,tt0017369
6342767,tt0758757
18524941,tt0102564
18066159,tt0062798
19031505,tt0045817
23666949,tt0041762
180917,tt0028455
6305925,tt0469263
196176,tt0067800
34454683,tt0060075
9944484,tt0058946
33872851,tt0032725
3513305,tt0084894
2509881,tt0101627
19569910,tt1715210
12832450,tt0368645
13091003,tt0835485
28742538,tt0896922
12409066,tt0470398
30437887,tt0354104
26137128,tt0343449
23445121,tt1280011
15739559,tt0011761
34470083,tt0249131
30658112,tt0152714
16304395,tt0092969
748616,tt0374546
36151270,tt0096775
33956317,tt2032545
31505444,tt0029924
336846,tt0077631
27463222,tt1452628
22256486,tt0112654
3179118,tt0066922
3249964,tt0042579
21906878,tt0062108
142911,tt0203986
15007384,tt0025198
31751930,tt0259242
23968563,tt0025605
11692389,tt0469828
31256008,tt0019457
2316181,tt0043460
6330031,tt0017632
8366514,tt0033117
3829646,tt0088461
29146560,tt0012513
3310726,tt0038262
20119316,tt0319365
27874961,tt0126004
3033993,tt0416508
1588008,tt0113283
13291849,tt0120381
5696825,tt0106664
6795113,tt2373668
30173306,tt0112272
30405742,tt1692889
32852698,tt0023479
32417200,tt0047828
103021,tt0077928
21793185,tt0058786
24011583,tt0036505
33144131,tt1697920
1940449,tt0107978
18496109,tt0263362
5261530,tt0064135
5384210,tt0392023
6795107,tt2378334
2174795,tt0087696
30109815,tt0040744
73842,tt0004008
20433908,tt0283844
29551629,tt1578818
28649243,tt0070374
27365295,tt0065825
6703617,tt0865556
14294670,tt0427342
22466518,tt0019466
20545821,tt0099191
6367133,tt1031215
21737016,tt0079094
19389755,tt1132135
29174042,tt1753866
14907363,tt0842823
29851917,tt0024199
362719,tt0078346
30353952,tt0252489
2870618,tt0461472
21271533,tt0161292
18821340,tt0144023
16055450,tt0098324
22308889,tt0268295
13706555,tt0002920
17486320,tt0368609
7696753,tt0057261
28327554,tt0064359
17379289,tt0081764
18037577,tt0004472
23066641,tt0028176
17960503,tt0145774
13919299,tt0218937
10705531,tt0219224
4459059,tt0120373
6471697,tt0101283
413207,tt0152930
14886428,tt0030289
34689049,tt0024254
36542079,tt0053167
4069274,tt0396271
1643787,tt0061687
3681139,tt0102517
35923481,tt0380349
11013589,tt0082708
26205476,tt0035361
20365034,tt0066071
33843262,tt0085327
5685826,tt0443436
24234630,tt0026711
5549065,tt0408236
14543900,tt0271748
24364162,tt3588012
14739568,tt0043661
37067980,tt0181053
171058,tt0103939
2608958,tt0119807
21618909,tt1202517
26624119,tt0053651
6273971,tt0078119
2546429,tt0087298
25947106,tt0023512
9916335,tt0198683
2596816,tt0029994
14630761,tt0066092
34472259,tt0111592
3927698,tt0448424
31686022,tt0142393
25753113,tt0053025
24416479,tt0101412
31021783,tt0039410
14773122,tt0082017
36166216,tt0067236
1688879,tt0119496
20904045,tt0075825
29468997,tt0037181
2574970,tt0150259
240088,tt0098830
14881706,tt0017850
29141182,tt0039285
32584198,tt1496884
31613768,tt0093194
6170621,tt0221344
33148159,tt0968993
12380008,tt0022293
24053482,tt0118932
11252861,tt0235963
32345990,tt0058772
13911991,tt0014459
3883051,tt0084395
20117139,tt0132539
34530005,tt0014145
1033297,tt0120804
21236198,tt0045229
9105523,tt0114129
15737392,tt0108056
32400923,tt1664723
25393275,tt0246007
12510319,tt0095542
17594419,tt0039437
207680,tt0110638
36422018,tt0004942
7489503,tt0025343
27667647,tt0261167
1858682,tt0044916
33006259,tt0072260
15221045,tt0091922
12802045,tt0113759
33559533,tt8942852
7235116,tt0094008
13723442,tt0005679
24862266,tt0059466
5254729,tt0466839
5007743,tt0062177
22695715,tt0202932
2051395,tt0059250
34858219,tt1305869
15457461,tt0141532
19168185,tt0336910
9124011,tt0317307
11943972,tt0069690
1393873,tt0284757
24291753,tt0050229
20648586,tt1263704
7447592,tt0027951
3865579,tt0039647
14558212,tt0013629
3959961,tt0174476
235331,tt0058888
32494263,tt1918969
34169001,tt0011891
9560806,tt0117622
22697314,tt0196632
1249014,tt0056291
9879162,tt0056040
35516437,tt0369204
29513277,tt0007972
35785312,tt1477171
20506905,tt1003034
28360743,tt0041379
9857888,tt0175467
30551885,tt0027037
20634623,tt0138464
15297854,tt1157620
35962988,tt0315389
31915495,tt0000363
